Iteration,Time,Fitness,FEvals,max_iters,Algorithm
426,0.05397350000566803,1816.0,484.0,4096,SA
427,0.05408290000195848,1816.0,485.0,4096,SA
428,0.0541914000059478,1816.0,486.0,4096,SA
429,0.05429870000079973,1816.0,487.0,4096,SA
430,0.05440880000242032,1816.0,488.0,4096,SA
431,0.054516300006071106,1816.0,489.0,4096,SA
432,0.05463389999931678,1816.0,490.0,4096,SA
433,0.05474110000068322,1816.0,491.0,4096,SA
434,0.05484789999900386,1816.0,492.0,4096,SA
435,0.05496710000443272,1816.0,493.0,4096,SA
436,0.05507610000495333,1816.0,494.0,4096,SA
437,0.05518619999929797,1816.0,495.0,4096,SA
438,0.05529519999981858,1816.0,496.0,4096,SA
439,0.055407100000593346,1816.0,497.0,4096,SA
440,0.05551650000415975,1816.0,498.0,4096,SA
441,0.0556261000019731,1816.0,499.0,4096,SA
442,0.055741399999533314,1816.0,500.0,4096,SA
443,0.055852100005722605,1816.0,501.0,4096,SA
444,0.05596990000049118,1816.0,502.0,4096,SA
445,0.05608290000236593,1816.0,503.0,4096,SA
446,0.056198500002210494,1816.0,504.0,4096,SA
447,0.056317100003070664,1816.0,505.0,4096,SA
448,0.056440799999109004,1816.0,506.0,4096,SA
449,0.05656190000445349,1816.0,507.0,4096,SA
450,0.056681900001422036,1816.0,508.0,4096,SA
451,0.056801099999574944,1816.0,509.0,4096,SA
452,0.056914300002972595,1816.0,510.0,4096,SA
453,0.057027000002563,1816.0,511.0,4096,SA
454,0.057142000005114824,1816.0,512.0,4096,SA
455,0.05725620000157505,1816.0,513.0,4096,SA
456,0.057369699999981094,1816.0,514.0,4096,SA
457,0.057487600002787076,1816.0,515.0,4096,SA
458,0.05760730000474723,1816.0,516.0,4096,SA
459,0.05772340000112308,1816.0,517.0,4096,SA
460,0.05784620000486029,1816.0,518.0,4096,SA
461,0.05796290000580484,1816.0,519.0,4096,SA
462,0.05808239999896614,1816.0,520.0,4096,SA
463,0.05820700000185752,1816.0,521.0,4096,SA
464,0.058329999999841675,1816.0,522.0,4096,SA
465,0.05845650000264868,1816.0,523.0,4096,SA
466,0.0585752000042703,1816.0,524.0,4096,SA
467,0.058707100004539825,1816.0,525.0,4096,SA
468,0.058823200000915676,1816.0,526.0,4096,SA
469,0.05893680000008317,1816.0,527.0,4096,SA
470,0.05905680000432767,1816.0,528.0,4096,SA
471,0.059176200004003476,1816.0,529.0,4096,SA
472,0.05929460000334075,1816.0,530.0,4096,SA
473,0.059413900002255104,1816.0,531.0,4096,SA
474,0.059556500003964175,1816.0,532.0,4096,SA
475,0.05970299999898998,1816.0,533.0,4096,SA
476,0.059868800002732314,1816.0,534.0,4096,SA
477,0.060023700003512204,1816.0,535.0,4096,SA
478,0.06017920000158483,1816.0,536.0,4096,SA
479,0.06036160000076052,1816.0,537.0,4096,SA
480,0.060556000003998633,1816.0,538.0,4096,SA
481,0.060744400005205534,1816.0,539.0,4096,SA
482,0.06093289999989793,1816.0,540.0,4096,SA
483,0.061121900005673524,1816.0,541.0,4096,SA
484,0.06131040000036592,1816.0,542.0,4096,SA
485,0.061464900005375966,1816.0,543.0,4096,SA
486,0.06160440000530798,1816.0,544.0,4096,SA
487,0.061748400003125425,1816.0,545.0,4096,SA
488,0.06188970000221161,1816.0,546.0,4096,SA
489,0.06203040000400506,1816.0,547.0,4096,SA
490,0.06216060000588186,1816.0,548.0,4096,SA
491,0.062286000000312924,1816.0,549.0,4096,SA
492,0.06241520000185119,1816.0,550.0,4096,SA
493,0.06254300000000512,1816.0,551.0,4096,SA
494,0.06267230000230484,1816.0,552.0,4096,SA
495,0.0628011000007973,1816.0,553.0,4096,SA
496,0.06292740000208141,1816.0,554.0,4096,SA
497,0.06305560000328114,1816.0,555.0,4096,SA
498,0.06318370000371942,1816.0,556.0,4096,SA
499,0.06331130000035046,1816.0,557.0,4096,SA
500,0.06343980000383453,1816.0,558.0,4096,SA
501,0.06357800000114366,1816.0,559.0,4096,SA
502,0.06370869999955175,1816.0,560.0,4096,SA
